,question,distractor3,distractor1,distractor2,correct_answer,support,mostUse,newQuestion,Question_Generate,Answer_Generate
26,Water molecules move about continuously due to what type of energy?,optical,seismic,potential,kinetic,water molecules move continuously kinetic energy crystal **sodium** chloride placed water water molecules collide crystal lattice recall crystal lattice composed alternating positive negative ions water attracted **sodium** chloride crystal water polar positive negative positively charged **sodium** ions crystal attract oxygen water molecules partially negative negatively charged chloride ions crystal attract hydrogen water molecules partially positive action polar water molecules takes crystal lattice apart image,"('sodium', 3)","('What do water molecules move continuously kinetic energy crystal?', 'sodium [TGT] chloride placed water water molecules collide crystal lattice recall crystal lattice composed alternating positive negative ions water attracted [TGT] sodium [TGT] chloride crystal water polar positive negative positively charged [TGT] sodium', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What do water molecules move continuously kinetic energy crystal?,sodium  chloride placed water water molecules collide crystal lattice recall crystal lattice composed alternating positive negative ions water attracted  sodium  chloride crystal water polar positive negative positively charged  sodium
27,A small scale version of what type of map displays individual rock units?,polar map,seismic map,geographic map,geologic map,geologic maps display rock units geologic features **small** scale displays individual rock units large scale shows geologic provinces,"('small', 1)","('What scale displays individual rock units?', 'small', ['Abdomen', 'Adnexa', 'Ambulacrum', 'Ampulla', 'Apparatus', 'Area', 'Back', 'Buttock', 'Buttocks', 'Cannon', 'Dilator', 'Dock', 'Dorsum', 'Energid', 'External Body Part', 'Feature', 'Flank', 'Fornix', 'Gaskin', 'Groove', 'Haunch', 'Hindquarters', 'Hip', 'Horseback', 'Joint', 'Lobe', 'Loin', 'Loins', 'Mentum', 'Organ', 'Partition', 'Process', 'Rectum', 'Rudiment', 'Saddle', 'Shank', 'Shin', 'Shoulder', 'Structure', 'Stump', 'System', 'Thorax', 'Tissue', 'Toe', 'Torso', 'Underpart', 'Venter', 'Withers'], 'the slender part of the back')",What scale displays individual rock units?,small
28,What is defined as a change in the inherited traits of organisms over time?,generation,variation,divergence,evolution,idea evolution happens evolution **change** inherited traits organisms time living things **change**d descendants diverged common ancestors past,"('change', 1)","('What does idea evolution happen?', 'change [TGT] inherited traits organisms time living things [TGT] change', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does idea evolution happen?,change  inherited traits organisms time living things  change
29,"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?",estrogen,steroids,epinephrine,testosterone,causes puberty begin hypothalamus brain tells pituitary gland secrete hormones target **testes** main pituitary hormone involved luteinizing hormone stimulates **testes** secrete testosterone testosterone turn promotes protein synthesis growth brings physical changes puberty shown figure addition changes shown puberty male facial hair begins grow shoulders broaden male voice deepens watch animation changes occur boys puberty interactive body link http science humanbody body interactives lifecycle teenagers,"('testes', 2)","('What does hypothalamus brain tells pituitary gland secrete hormones target?', 'testes [TGT] main pituitary hormone involved luteinizing hormone stimulates [TGT] testes', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does hypothalamus brain tells pituitary gland secrete hormones target?,testes  main pituitary hormone involved luteinizing hormone stimulates  testes
30,Where do angiosperms produce seeds in flowers?,testes,germs,cones,ovaries,seed plants **called** angiosperms produce seeds ovaries flowers,"('called', 1)","('What are angiosperms?', 'called', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What are angiosperms?,called
31,"In order to create food, what do photosynthetic protists use?",decayed matter,thermal energy,hydrocarbons,light energy,photosynthetic protists **light** energy make food major producers aquatic ecosystems,"('light', 1)","('What type of energy makes food major producers of aquatic ecosystems?', 'light', ['Infrared', 'Ultraviolet'], '(physics) electromagnetic radiation that can produce a visual sensation')",What type of energy makes food major producers of aquatic ecosystems?,light
32,What type of vertebrates are birds?,exothermic,epidermal tetrapod,invertebrates,endothermic tetrapod,birds endothermic tetrapod **vertebrates** bipedal means walk legs birds also amniotic eggs eggs hard calcium carbonate shells although birds recent class **vertebrates** evolve numerous **vertebrates** earth birds successful traits allowed increase diversify rapidly,"('vertebrates', 3)","('What do birds recent class vertebrates evolve numerous?', 'vertebrates [TGT] bipedal means walk legs birds also amniotic eggs eggs hard calcium carbonate shells although birds recent class [TGT] vertebrates [TGT] evolve numerous [TGT] vertebrates', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What do birds recent class vertebrates evolve numerous?,vertebrates  bipedal means walk legs birds also amniotic eggs eggs hard calcium carbonate shells although birds recent class  vertebrates  evolve numerous  vertebrates
33,What type of ions do ionic compounds contain?,negative and neutal,regular and irregular,positive and charged,positive and negative,**ionic** compound contains positive negative ions,"('ionic', 1)","('What compound contains positive negative ions?', 'ionic', ['Aeolic', 'Arcadic', 'Attic', 'Doric'], 'the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia')",What compound contains positive negative ions?,ionic
34,All living things need air and this to survive?,ecosystem,stimuli,habitat,water,,none,,,
35,The cells of all eukarya have a what?,necrosis,chloroplast,epidermis,nucleus,eukarya also single **celled** many multicellular cell wall others however cells eukarya nucleus organelles,"('celled', 1)","('What type of cell wall is eukarya?', 'celled', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of cell wall is eukarya?,celled
36,What type of plate boundaries produce huge mountain ranges in the ocean basin?,tractional,coherent,parallel,divergent,divergent plate **boundaries** produce huge mountain ranges water every ocean basin,"('boundaries', 1)","('What produce mountain ranges of water every ocean basin?', 'boundaries', ['Boundary', 'Centerline', 'Curve', 'Geodesic', 'Perimeter', 'Straight Line'], 'a line determining the limits of an area')",What produce mountain ranges of water every ocean basin?,boundaries
37,Interstitial carbides are produced by the reaction of most transition metals at high temperatures with what element?,nitrogen,hydrogen,oxygen,carbon,temperatures electropositive metals groups aluminum produces ionic **carbide**s contain discrete metal cations carbon anions identity anions depends size second element example smaller elements beryllium aluminum give methides be2c al4c3 formally contain derived methane losing four atoms protons contrast larger metals sodium calcium give **carbide**s stoichiometries na2c2 cac2 **carbide**s contain derived acetylene losing atoms protons properly called acetylides discussed chapter periodic trends section alkaline earth metals group reacting ionic **carbide**s dilute aqueous acid results protonation anions give parent hydrocarbons c2h2 many years miners lamps used reaction calcium **carbide** water produce steady supply acetylene ignited provide portable lantern reaction carbon transition metals high temperatures produces interstitial **carbide**s less electropositive nature transition metals **carbide**s contain covalent metal carbon interactions result different properties interstitial **carbide**s good conductors electricity high melting points among hardest substances known interstitial **carbide**s exhibit variety nominal compositions often nonstoichiometric compounds whose carbon content vary wide range among important tungsten **carbide** used industrially high speed cutting tools cementite fe3c major component steel elements electronegativity similar carbon form covalent **carbide**s silicon **carbide** equation boron **carbide** substances extremely hard high melting points chemically inert example silicon **carbide** highly resistant chemical attack temperatures high also maintains strength high temperatures silicon **carbide** used heating elements electric furnaces variable temperature resistors,"('carbide', 6)","('What type of metals produce ionic carbide s?', 'carbide [TGT] s contain discrete metal cations carbon anions identity anions depends size second element example smaller elements beryllium aluminum give methides be2c al4c3 formally contain derived methane losing four atoms protons contrast larger metals sodium calcium give [TGT] carbide [TGT] s stoichiometries na2c2 cac2 [TGT] carbide [TGT] s contain derived acetylene losing atoms protons properly called acetylides discussed chapter periodic trends section alkaline earth metals group reacting ionic [TGT] carbide [TGT] s dilute aqueous acid results protonation anions give parent hydrocarbons c2h2 many years miners lamps used reaction calcium [TGT] carbide [TGT] water produce steady supply acetylene ignited provide portable lantern reaction carbon transition metals high temperatures produces interstitial [TGT] carbide [TGT] s less electropositive nature transition metals [TGT] carbide [TGT] s contain covalent metal carbon interactions result different properties interstitial [TGT] carbide [TGT] s good conductors electricity high melting points among hardest substances known interstitial [TGT] carbide [TGT] s exhibit variety nominal compositions often nonstoichiometric compounds whose carbon content vary wide range among important tungsten [TGT] carbide [TGT] used industrially high speed cutting tools cementite fe3c major component steel elements electronegativity similar carbon form covalent [TGT] carbide [TGT] s silicon [TGT] carbide [TGT] equation boron [TGT] carbide [TGT] substances extremely hard high melting points chemically inert example silicon [TGT] carbide [TGT] highly resistant chemical attack temperatures high also maintains strength high temperatures silicon [TGT] carbide', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of metals produce ionic carbide s?,carbide  s contain discrete metal cations carbon anions identity anions depends size second element example smaller elements beryllium aluminum give methides be2c al4c3 formally contain derived methane losing four atoms protons contrast larger metals sodium calcium give  carbide  s stoichiometries na2c2 cac2  carbide  s contain derived acetylene losing atoms protons properly called acetylides discussed chapter periodic trends section alkaline earth metals group reacting ionic  carbide  s dilute aqueous acid results protonation anions give parent hydrocarbons c2h2 many years miners lamps used reaction calcium  carbide  water produce steady supply acetylene ignited provide portable lantern reaction carbon transition metals high temperatures produces interstitial  carbide  s less electropositive nature transition metals  carbide  s contain covalent metal carbon interactions result different properties interstitial  carbide  s good conductors electricity high melting points among hardest substances known interstitial  carbide  s exhibit variety nominal compositions often nonstoichiometric compounds whose carbon content vary wide range among important tungsten  carbide  used industrially high speed cutting tools cementite fe3c major component steel elements electronegativity similar carbon form covalent  carbide  s silicon  carbide  equation boron  carbide  substances extremely hard high melting points chemically inert example silicon  carbide  highly resistant chemical attack temperatures high also maintains strength high temperatures silicon  carbide
